"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"P31_L-02_1","Boyaca","FollowUps","SantaSofia",-73.6013,5.70725,2358,2401,143,3.1,8.38,433.79,0,0.02697,0.0372,0.03692
"P31_L-02_2","Boyaca","FollowUps","SantaSofia",-73.6013,5.70725,2358,2401,148,3.1,5.16,543.56,0,0.00887,0.00273,0.01428
"P31_L-02_3","Boyaca","FollowUps","SantaSofia",-73.6013,5.70725,2358,2401,150,3.1,7.35,390.45,0,0.05618,0.05277,0.08256
"P43_L-01_1","Boyaca","FollowUps","SantaSofia",-73.60542,5.69429,2528,1680,173,3.9,10.78,480.27,0,0.0542,0.04991,0.0336
"P52_L-01_1","Boyaca","FollowUps","VillaDeLeyva",-73.5813,5.65968,2082,1470,145,3.1,13.01,263.83,0,0.0544,0.06993,0.08335
"P52_L-01_2","Boyaca","FollowUps","VillaDeLeyva",-73.5813,5.65968,2082,1470,175,3.1,12.53,313.2,0,0.0622,0.15787,0.25863
"P52_L-01_3","Boyaca","FollowUps","VillaDeLeyva",-73.5813,5.65968,2082,1470,153,3.1,10.1,296.46,0,0.04569,0.14948,0.16808
"P52_L-03_1","Boyaca","FollowUps","VillaDeLeyva",-73.5813,5.65968,2082,3184,171,3,9.38,424.49,0,0.05118,0.0708,0.06295
"P52_L-03_2","Boyaca","FollowUps","VillaDeLeyva",-73.5813,5.65968,2082,3184,197,1.9,9.69,106.42,0,0.05032,0.07262,0.06697
"P52_L-03_3","Boyaca","FollowUps","VillaDeLeyva",-73.5813,5.65968,2082,3184,180,3,11.09,373.49,0,0.05437,0.10876,0.16886
"P52_L-03_4","Boyaca","FollowUps","VillaDeLeyva",-73.5813,5.65968,2082,3184,177,2.8,10.26,450.19,0,0.02796,0.0138,0.0342
